nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
389,20,9,41896,549557,48.095611572265625,11.53105354309082,560.0,0.13099999725818634,-0.05000000074505806,255.98080444335938,222758,14,3,1,-0.978271484375,-0.012451171875,-0.131103515625,0.9870958924293518,-0.580152690410614,0.19847328960895538,-1.3511450290679932,1,95698.0,0.05242919921875,20.079999923706055,1,0,3750,1,130c0000ff0f0601d62a08001d000000,0,0x0636
390,20,10,42000,579657,48.095577239990234,11.531073570251465,553.0,0.06300000101327896,-0.1469999998807907,317.7451171875,222828,12,3,1,-0.96923828125,-0.01171875,-0.133544921875,0.9784653186798096,-0.7709923386573792,0.1221374049782753,-1.0534350872039795,1,95701.0,-0.225067138671875,20.079999923706055,1,0,3753,1,150c0000ff0d0500a8b308001f000000,1,0x1EE2
391,20,11,42104,609660,48.095577239990234,11.531122207641602,557.0,0.8610000014305115,-0.5820000171661377,151.52613830566406,222858,15,3,1,-0.970947265625,-0.00341796875,0.00830078125,0.9709887504577637,-0.8549618124961853,0.10687022656202316,-1.1297709941864014,1,95700.0,0.062286376953125,20.25,1,0,3750,1,170c0000ff000000793c090021000000,1,0x80BB
392,20,12,42208,639660,48.0955810546875,11.53119945526123,565.0,0.289000004529953,-0.19599999487400055,95.12586212158203,222928,14,3,1,-0.974853515625,0.000244140625,0.02099609375,0.9750795960426331,-0.6870229244232178,0.2442748099565506,-1.1908396482467651,1,95703.0,0.039764404296875,20.420000076293945,1,0,3756,1,180c0000ff0f0601e380090022000000,0,0xF81D
393,20,13,42312,669660,48.09557342529297,11.531219482421875,563.0,0.6660000085830688,0.05700000002980232,257.2771911621094,222959,14,3,1,-0.99462890625,-0.013427734375,0.000244140625,0.9947195649147034,-0.7786259651184082,0.37404578924179077,-0.47328245639801025,1,95708.0,-0.355010986328125,20.600000381469727,1,0,3744,1,1a0c0000ff050201bf090a0024000000,0,0x8606
394,20,14,42416,699760,48.095584869384766,11.53121566772461,552.0,0.14499999582767487,0.38100001215934753,332.7236022949219,223029,16,3,1,-0.98095703125,-0.002197265625,0.0068359375,0.980983316898346,-0.9007633328437805,0.42748090624809265,-1.0992366075515747,1,95705.0,-0.05633544921875,20.790000915527344,1,0,3744,1,1c0c0000ff06020093920a0026000000,1,0xA626
395,20,15,42520,729860,48.09553909301758,11.531153678894043,552.0,0.20999999344348907,-0.17800000309944153,314.63714599609375,223059,14,3,1,-0.98583984375,0.001953125,0.00830078125,0.985876739025116,-0.694656491279602,0.221374049782753,-1.0305343866348267,0,95702.0,0.131317138671875,20.989999771118164,1,0,3737,1,1e0c0000ff0a04006f1b0b0028000000,1,0xF09A
396,20,16,42624,759860,48.09553146362305,11.531134605407715,557.0,0.16200000047683716,-0.20800000429153442,280.904541015625,223129,14,3,1,-0.982666015625,-0.005859375,0.013427734375,0.9827752113342285,-0.7633587718009949,0.16030533611774445,-1.038167953491211,1,95703.0,0.059173583984375,21.190000534057617,1,0,3747,1,1f0c0000ff080301e25f0b0029000000,0,0xE381
397,20,17,42728,789960,48.09556198120117,11.531098365783691,559.0,0.5770000219345093,0.4269999861717224,290.89483642578125,223159,14,3,1,-0.98291015625,-0.010009765625,0.011962890625,0.9830338954925537,-0.9160305261611938,0.221374049782753,-1.0076335668563843,1,95707.0,-0.344390869140625,21.40999984741211,1,0,3760,1,210c0000ff0d0500cde80b002b000000,1,0x2C3E
398,20,18,42832,819960,48.0955810546875,11.531096458435059,557.0,0.25099998712539673,-0.04500000178813934,19.47332000732422,223229,15,3,1,-0.977783203125,-0.000732421875,0.0048828125,0.9777956604957581,-0.8091602921485901,0.221374049782753,-1.198473334312439,1,95701.0,0.1788330078125,21.639999389648438,1,0,3744,1,230c0000ff0e0500b7710c002d000000,1,0x6B31
